#INFO,Version=1.0.0,Template= eBay-active-revise-price-quantity-download_US,,,,,,,,,
Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU)
Revise,"CCG Individual Cards (183454)","306478347390",Deoxys #82/107 Wurmple,"US","USD","1.99",,"1",,,152-jbsfs
Revise,"CCG Individual Cards (183454)","306478347402",Legend Maker #30/92 Cascoon,"US","USD","2.49",,"1",,,153-jbsft
Revise,"CCG Individual Cards (183454)","306478347417",Emerald #51/106 Gulpin,"US","USD","2.99",,"1",,,155-jbsfw
Revise,"CCG Individual Cards (183454)","306480305015",Plasma Freeze #62/116 Makuhita,"US","USD","1.49",,"1",,,156-jdmy9
Revise,"CCG Individual Cards (183454)","306480305036",Plasma Freeze #71/116 Pawniard (71),"US","USD","1.49",,"1",,,157-jdmyc
Revise,"CCG Individual Cards (183454)","306480305061",Supreme Victors #92 Buizel,"US","USD","1.49",,"1",,,158-jdmyd
Revise,"CCG Individual Cards (183454)","306480305077",Mysterious Treasures #85/123 Gible,"US","USD","1.49",,"1",,,159-jdmye
Revise,"CCG Individual Cards (183454)","306480305306",Diamond and Pearl #59/130 Rapidash,"US","USD","1.49",,"1",,,168-jdmz1
Revise,"CCG Individual Cards (183454)","306480305363",Fossil #49/62 Horsea,"US","USD","1.49",,"1",,,169-jdmz3
Revise,"CCG Individual Cards (183454)","306480305370",Plasma Freeze #89/116 Eevee (89),"US","USD","5.99",,"1",,,170-jdmz4
Revise,"CCG Individual Cards (183454)","306480305406",Delta Species #85/113 Staryu,"US","USD","1.99",,"1",,,172-jdmz8
Revise,"CCG Individual Cards (183454)","306480305445",Dragon #58/97 Horsea,"US","USD","2.49",,"1",,,173-jdmzb
Revise,"CCG Individual Cards (183454)","306480305448",Supreme Victors #57 Drifblim,"US","USD","2.49",,"1",,,174-jdmzd
Revise,"CCG Individual Cards (183454)","306480305568",Fossil #54/62 Shellder,"US","USD","1.49",,"1",,,175-jdmzf
Revise,"CCG Individual Cards (183454)","306480305684",Supreme Victors #101 Croagunk,"US","USD","1.49",,"1",,,181-jdmzq
Revise,"CCG Individual Cards (183454)","306480331754",Unseen Forces #74/115 Snubbull,"US","USD","1.49",,"1",,,186-jdtq1
Revise,"CCG Individual Cards (183454)","306480331838",FireRed & LeafGreen #62/112 Doduo,"US","USD","1.99",,"1",,,188-jdtq6
Revise,"CCG Individual Cards (183454)","306480331880",Dragon #49/97 Bagon,"US","USD","1.49",,"1",,,189-jdtq7
Revise,"CCG Individual Cards (183454)","306480331890",Diamond and Pearl #79/130 Combee,"US","USD","1.49",,"1",,,190-jdtqa
Revise,"CCG Individual Cards (183454)","306480331978",Mysterious Treasures #55/123 Masquerain,"US","USD","1.99",,"1",,,193-jdtre
Revise,"CCG Individual Cards (183454)","306480332049",Great Encounters #45/106 Magcargo,"US","USD","1.99",,"1",,,195-jdtrm
Revise,"CCG Individual Cards (183454)","306480332151",Diamond and Pearl #98/130 Shinx,"US","USD","1.99",,"1",,,198-jdtrp
Revise,"CCG Individual Cards (183454)","306480332190",Diamond and Pearl #98/130 Shinx,"US","USD","1.99",,"1",,,199-jdtrr
Revise,"CCG Individual Cards (183454)","306481903092",SV04: Paradox Rift #093/182 Groudon Holo,"US","USD","1.49",,"1",,,208-jf49c
Revise,"CCG Individual Cards (183454)","306481903103",SV04: Paradox Rift #118/182 Yveltal Holo,"US","USD","1.49",,"1",,,209-jf49d
Revise,"CCG Individual Cards (183454)","306481903123",Neo Discovery #61/75 Pineco,"US","USD","1.49",,"1",,,210-jf49e
Revise,"CCG Individual Cards (183454)","306481903164",McDonald's Promos 2023 #011/015 Klawf Holo,"US","USD","2.99",,"1",,,212-jf49g
Revise,"CCG Individual Cards (183454)","306481903201",SV: Scarlet & Violet Promo Cards #062 Sinistea Holo,"US","USD","1.49",,"1",,,214-jf49i
Revise,"CCG Individual Cards (183454)","306481903258",SV: Scarlet & Violet Promo Cards #061 Pineco Holo,"US","USD","1.49",,"1",,,216-jf49k
Revise,"CCG Individual Cards (183454)","306481903261",SWSH: Sword & Shield Promo Cards #SWSH220 Rowlet Holo,"US","USD","1.49",,"1",,,215-jf49j
Revise,"CCG Individual Cards (183454)","306481903275",SV: Scarlet & Violet Promo Cards #149 Pecharunt Holo,"US","USD","1.99",,"1",,,217-jf49l
Revise,"CCG Individual Cards (183454)","306481903284",SV02: Paldea Evolved #126/193 Glimmora Holo,"US","USD","1.49",,"1",,,218-jf49m
Revise,"CCG Individual Cards (183454)","306481903312",SV: Scarlet & Violet Promo Cards #094 Bellibolt Holo,"US","USD","1.99",,"1",,,219-jf49n
Revise,"CCG Individual Cards (183454)","306481903322",SV: Scarlet & Violet Promo Cards #093 Carvanha Holo,"US","USD","1.49",,"1",,,220-jf49o
Revise,"CCG Individual Cards (183454)","306481903360",SV: Scarlet & Violet Promo Cards #120 Pupitar Holo,"US","USD","1.49",,"1",,,222-jf49q
Revise,"CCG Individual Cards (183454)","306481903381",SWSH03: Darkness Ablaze #104/189 Crobat V Holo,"US","USD","1.99",,"1",,,224-jf49s
Revise,"CCG Individual Cards (183454)","306481903451",SV04: Paradox Rift #073/182 Latios Holo,"US","USD","1.99",,"1",,,225-jf49t
Revise,"CCG Individual Cards (183454)","306481903463",SV: Prismatic Evolutions #121/131 Professor Turo's Scenario Holo,"US","USD","1.49",,"1",,,226-jf49u
Revise,"CCG Individual Cards (183454)","306481903514",Shining Fates #008/072 Decidueye Holo,"US","USD","1.49",,"1",,,228-jf49w
Revise,"CCG Individual Cards (183454)","306481903590",Shining Fates #013/072 Rillaboom Holo,"US","USD","1.49",,"1",,,231-jf49z
Revise,"CCG Individual Cards (183454)","306486297877",SWSH11: Lost Origin #107/196 Barbaracle Reverse Holo,"US","USD","1.49",,"1",,,287-jik27
Revise,"CCG Individual Cards (183454)","306486298103",SV04: Paradox Rift #099/182 Minior Reverse Holo,"US","USD","1.49",,"1",,,288-jik28
Revise,"CCG Individual Cards (183454)","306486298157",SWSH11: Lost Origin #165/196 Panic Mask Reverse Holo,"US","USD","1.99",,"1",,,289-jik29
Revise,"CCG Individual Cards (183454)","306486298238",SV08: Surging Sparks #113/191 Grapploct Reverse Holo,"US","USD","1.49",,"1",,,291-jik2b
Revise,"CCG Individual Cards (183454)","306486298298",SV04: Paradox Rift #081/182 Espathra Holo,"US","USD","1.49",,"1",,,292-jik2g
Revise,"CCG Individual Cards (183454)","306486298384",SWSH03: Darkness Ablaze #064/189 Pincurchin Holo,"US","USD","1.49",,"1",,,293-jik2k
Revise,"CCG Individual Cards (183454)","306486298475",SV03: Obsidian Flames #085/197 Togekiss Reverse Holo,"US","USD","1.49",,"1",,,294-jik2m
Revise,"CCG Individual Cards (183454)","306486298587",SV04: Paradox Rift #061/182 Minun Reverse Holo,"US","USD","1.49",,"1",,,295-jik2o
Revise,"CCG Individual Cards (183454)","306486298705",SWSH03: Darkness Ablaze #173/189 Yell Horn Reverse Holo,"US","USD","1.49",,"1",,,296-jik2p
Revise,"CCG Individual Cards (183454)","306486298798",SV04: Paradox Rift #044/182 Vanillish Reverse Holo,"US","USD","1.49",,"1",,,299-jik30
Revise,"CCG Individual Cards (183454)","306486298813",SWSH10: Astral Radiance #067/189 Azelf Reverse Holo,"US","USD","1.49",,"1",,,300-jik39
Revise,"CCG Individual Cards (183454)","306486298848",SWSH10: Astral Radiance #038/189 Glaceon Reverse Holo,"US","USD","1.99",,"1",,,302-jik3p
Revise,"CCG Individual Cards (183454)","306486298860",SV04: Paradox Rift #147/182 Miltank Reverse Holo,"US","USD","1.49",,"1",,,303-jik3r
Revise,"CCG Individual Cards (183454)","306486298876",SWSH11: Lost Origin #127/196 Galarian Stunfisk Reverse Holo,"US","USD","1.49",,"1",,,304-jik3t
Revise,"CCG Individual Cards (183454)","306486298920",SV04: Paradox Rift #067/182 Oricorio Reverse Holo,"US","USD","1.49",,"1",,,307-jik3y
Revise,"CCG Individual Cards (183454)","306486298921",SV03: Obsidian Flames #126/197 Paldean Wooper Reverse Holo,"US","USD","1.49",,"1",,,306-jik3w
Revise,"CCG Individual Cards (183454)","306486299005",SV04: Paradox Rift #154/182 Tandemaus Reverse Holo,"US","USD","2.49",,"1",,,308-jik40
Revise,"CCG Individual Cards (183454)","306486299030",SWSH11: Lost Origin #041/196 Lumineon Reverse Holo,"US","USD","1.49",,"1",,,309-jik43
Revise,"CCG Individual Cards (183454)","306486299572",XY - Evolutions #8/108 Tangela,"US","USD","1.49",,"1",,,315-jik4f
Revise,"CCG Individual Cards (183454)","306486299796",Delta Species #74/113 Magnemite,"US","USD","1.49",,"1",,,317-jik4j
Revise,"CCG Individual Cards (183454)","306486300126",Emerging Powers #29/98 Cubchoo (29),"US","USD","1.49",,"1",,,321-jik4q
Revise,"CCG Individual Cards (183454)","306486300714",XY - Ancient Origins #61/98 Meowth,"US","USD","1.99",,"1",,,328-jik5c
Revise,"CCG Individual Cards (183454)","306486300917",XY - Ancient Origins #10/98 Vespiquen (10),"US","USD","1.99",,"1",,,330-jik5h
Revise,"CCG Individual Cards (183454)","306486301069",XY - Ancient Origins #23/98 Relicanth,"US","USD","1.49",,"1",,,331-jik5i
Revise,"CCG Individual Cards (183454)","306486301167",XY - Ancient Origins #52/98 Ralts,"US","USD","1.99",,"1",,,332-jik5k
Revise,"CCG Individual Cards (183454)","306486301386",XY - Ancient Origins #41/98 Golurk (41),"US","USD","1.49",,"1",,,333-jik5l
Revise,"CCG Individual Cards (183454)","306486301464",XY - Ancient Origins #22/98 Vaporeon,"US","USD","1.99",,"1",,,334-jik5m
Revise,"CCG Individual Cards (183454)","306486301737",Plasma Blast #82/101 Plume Fossil,"US","USD","1.49",,"1",,,335-jik5n
Revise,"CCG Individual Cards (183454)","306486301824",Expedition #157/165 Switch,"US","USD","2.99",,"1",,,336-jik5r
Revise,"CCG Individual Cards (183454)","306489398101",Shining Fates #052/072 Eevee,"US","USD","1.49",,"1",,,338-jlspw
Revise,"CCG Individual Cards (183454)","306489398104",SV04: Paradox Rift #153/182 Tandemaus Reverse Holo,"US","USD","2.49",,"1",,,339-jlspx
Revise,"CCG Individual Cards (183454)","306489398122",SV04: Paradox Rift #102/182 Nacli Reverse Holo,"US","USD","1.49",,"1",,,340-jlspy
Revise,"CCG Individual Cards (183454)","306489398152",Champion's Path #26/73 Machamp Holo,"US","USD","1.49",,"1",,,342-jlsq0
Revise,"CCG Individual Cards (183454)","306489398176",SV04: Paradox Rift #049/182 Golisopod Holo,"US","USD","1.49",,"1",,,344-jlsq2
Revise,"CCG Individual Cards (183454)","306489398179",SV04: Paradox Rift #025/182 Charcadet Reverse Holo,"US","USD","1.49",,"1",,,345-jlsq3
Revise,"CCG Individual Cards (183454)","306489398198",Dragon Frontiers #39/101 Smeargle (Delta Species),"US","USD","2.99",,"1",,,347-jlsq5
Revise,"CCG Individual Cards (183454)","306489398262",Dragon Frontiers #48/101 Elekid (Delta Species),"US","USD","2.49",,"1",,,350-jlsq8
Revise,"CCG Individual Cards (183454)","306489398332",SWSH02: Rebel Clash #058/192 Electabuzz Reverse Holo,"US","USD","3.99",,"1",,,355-jlsqd
Revise,"CCG Individual Cards (183454)","306489398407",SV02: Paldea Evolved #096/193 Palossand Reverse Holo,"US","USD","1.49",,"1",,,359-jlsqh
Revise,"CCG Individual Cards (183454)","306489398432",SV02: Paldea Evolved #108/193 Paldean Tauros Reverse Holo,"US","USD","1.49",,"1",,,360-jlsqi
Revise,"CCG Individual Cards (183454)","306489398469",SV04: Paradox Rift #085/182 Tinkaton Reverse Holo,"US","USD","1.49",,"1",,,363-jlsql
Revise,"CCG Individual Cards (183454)","306489398471",SV08: Surging Sparks #116/191 Koraidon,"US","USD","1.49",,"1",,,362-jlsqk
Revise,"CCG Individual Cards (183454)","306489398488",SWSH01: Sword & Shield Base Set #112/202 Clobbopus (112) Reverse Holo,"US","USD","1.49",,"1",,,364-jlsqm
Revise,"CCG Individual Cards (183454)","306491140664",SV06: Twilight Masquerade #053/167 Froslass Holo,"US","USD","1.79",,"1",,,365-jmyy7
Revise,"CCG Individual Cards (183454)","306491140683",SWSH07: Evolving Skies #142/203 Boost Shake Reverse Holo,"US","USD","1.99",,"1",,,367-jmyy9
Revise,"CCG Individual Cards (183454)","306491140706",SV03: Obsidian Flames #011/197 Phantump Reverse Holo,"US","USD","1.49",,"1",,,369-jmyyb
Revise,"CCG Individual Cards (183454)","306491140736",SV03: Obsidian Flames #085/197 Togekiss Holo,"US","USD","1.99",,"1",,,370-jmyyc
Revise,"CCG Individual Cards (183454)","306491140759",SV01: Scarlet & Violet Base Set #173/198 Energy Switch Reverse Holo,"US","USD","1.79",,"1",,,371-jmyyd
Revise,"CCG Individual Cards (183454)","306491140780",Dragon Frontiers #53/101 Ledyba (Delta Species),"US","USD","1.99",,"1",,,372-jmyye
Revise,"CCG Individual Cards (183454)","306491140882",SV04: Paradox Rift #017/182 Toedscruel Reverse Holo,"US","USD","1.49",,"1",,,376-jmyyi
Revise,"CCG Individual Cards (183454)","306491140905",SV04: Paradox Rift #097/182 Mienshao Reverse Holo,"US","USD","1.49",,"1",,,377-jmyyj
Revise,"CCG Individual Cards (183454)","306491140951",SV07: Stellar Crown #043/142 Chewtle Reverse Holo,"US","USD","1.49",,"1",,,378-jmyyk
Revise,"CCG Individual Cards (183454)","306491140969",SV08: Surging Sparks #161/191 Terapagos Holo,"US","USD","1.99",,"1",,,379-jmyyl
Revise,"CCG Individual Cards (183454)","306491140993",SWSH11: Lost Origin #037/196 Kingdra Holo,"US","USD","1.49",,"1",,,380-jmyym
Revise,"CCG Individual Cards (183454)","306491141052",Celebrations #003/025 Kyogre Holo,"US","USD","2.99",,"1",,,384-jmyyq
Revise,"CCG Individual Cards (183454)","306491141082",SV08: Surging Sparks #038/191 Gouging Fire Holo,"US","USD","1.49",,"1",,,386-jmyys
Revise,"CCG Individual Cards (183454)","306491141141",SWSH10: Astral Radiance #119/189 Eevee Reverse Holo,"US","USD","2.49",,"1",,,390-jmyyz
Revise,"CCG Individual Cards (183454)","306492771701",Celebrations #020/025 Dialga,"US","USD","1.49",,"1",,,391-jomkh
Revise,"CCG Individual Cards (183454)","306492771774",SV04: Paradox Rift #107/182 Slither Wing Holo,"US","USD","1.49",,"1",,,395-jomkn
Revise,"CCG Individual Cards (183454)","306492771778",SV04: Paradox Rift #001/182 Surskit Reverse Holo,"US","USD","1.49",,"1",,,396-jomko
Revise,"CCG Individual Cards (183454)","306492771794",SV04: Paradox Rift #109/182 Ting-Lu Holo,"US","USD","1.49",,"1",,,398-jomkr
Revise,"CCG Individual Cards (183454)","306492771801",SWSH07: Evolving Skies #132/203 Swablu Reverse Holo,"US","USD","1.49",,"1",,,399-jomks
Revise,"CCG Individual Cards (183454)","306492771814",SWSH08: Fusion Strike #075/264 Clawitzer Reverse Holo,"US","USD","1.49",,"1",,,400-jomku
Revise,"CCG Individual Cards (183454)","306492771827",SWSH09: Brilliant Stars #149/172 Team Yell's Cheer Reverse Holo,"US","USD","1.49",,"1",,,401-jomkv
Revise,"CCG Individual Cards (183454)","306492771866",Diamond and Pearl #85/130 Hoothoot,"US","USD","1.49",,"1",,,406-joml2
Revise,"CCG Individual Cards (183454)","306492771899",Diamond and Pearl #74/130 Chatot,"US","USD","1.49",,"1",,,408-joml5
Revise,"CCG Individual Cards (183454)","306492771906",Noble Victories #12/101 Accelgor,"US","USD","1.49",,"1",,,409-joml6
Revise,"CCG Individual Cards (183454)","306492771945",Diamond and Pearl #83/130 Glameow,"US","USD","1.49",,"1",,,411-jomla
Revise,"CCG Individual Cards (183454)","306492771964",Mysterious Treasures #80/123 Doduo,"US","USD","1.49",,"1",,,412-jomlb
Revise,"CCG Individual Cards (183454)","306492771966",Delta Species #80/113 Porygon,"US","USD","1.99",,"1",,,413-jomld
Revise,"CCG Individual Cards (183454)","306492771978",Mysterious Treasures #80/123 Doduo,"US","USD","1.49",,"1",,,415-jomlg
Revise,"CCG Individual Cards (183454)","306492771996",Diamond and Pearl #85/130 Hoothoot,"US","USD","1.49",,"1",,,416-jomli
Revise,"CCG Individual Cards (183454)","306496814331",Delta Species #75/113 Makuhita,"US","USD","2.49",,"1",,,422-jre2v
Revise,"CCG Individual Cards (183454)","306496814645",Celebrations #020/025 Dialga Holo,"US","USD","1.99",,"1",,,429-jre32
Revise,"CCG Individual Cards (183454)","306496814695",Celebrations #019/025 Yveltal Holo,"US","USD","1.49",,"1",,,430-jre33
Revise,"CCG Individual Cards (183454)","306496814903",Celebrations #023/025 Professor's Research Holo,"US","USD","1.99",,"1",,,431-jre34
Revise,"CCG Individual Cards (183454)","306496814906",Celebrations #003/025 Kyogre Holo,"US","USD","1.49",,"1",,,432-jre35
Revise,"CCG Individual Cards (183454)","306496814956",Celebrations #019/025 Yveltal Holo,"US","USD","1.49",,"1",,,433-jre36
Revise,"CCG Individual Cards (183454)","306496814960",Celebrations #004/025 Palkia Holo,"US","USD","1.49",,"1",,,434-jre38
Revise,"CCG Individual Cards (183454)","306496815048",Celebrations #021/025 Solgaleo Holo,"US","USD","1.99",,"1",,,435-jre39
Revise,"CCG Individual Cards (183454)","306496815061",Celebrations #020/025 Dialga Holo,"US","USD","1.49",,"1",,,436-jre3a
Revise,"CCG Individual Cards (183454)","306496815111",SWSH05: Battle Styles #121/163 Bruno Reverse Holo,"US","USD","1.99",,"1",,,437-jre3b
Revise,"CCG Individual Cards (183454)","306496815165",SV: Paldean Fates #087/091 Professor's Research Holo,"US","USD","1.49",,"1",,,439-jre3d
Revise,"CCG Individual Cards (183454)","306496815212",SV04: Paradox Rift #156/182 Bombirdier ex,"US","USD","1.49",,"1",,,440-jre3f
Revise,"CCG Individual Cards (183454)","306496815263",SV03: Obsidian Flames #141/197 Scizor Holo,"US","USD","1.99",,"1",,,442-jre3h
Revise,"CCG Individual Cards (183454)","306496815282",SV04: Paradox Rift #075/182 Yamask Reverse Holo,"US","USD","1.49",,"1",,,443-jre3i
Revise,"CCG Individual Cards (183454)","306500364554",SV02: Paldea Evolved #192/193 Reversal Energy Reverse Holo,"US","USD","1.49",,"1",,,444-jup76
Revise,"CCG Individual Cards (183454)","306500364585",SWSH03: Darkness Ablaze #048/189 Cubchoo Reverse Holo,"US","USD","1.99",,"1",,,447-jup7a
Revise,"CCG Individual Cards (183454)","306500364606",SWSH02: Rebel Clash #060/192 Shinx Reverse Holo,"US","USD","1.49",,"1",,,448-jup7b
Revise,"CCG Individual Cards (183454)","306500364613",SWSH11: Lost Origin #068/196 Jynx Reverse Holo,"US","USD","1.49",,"1",,,449-jup7c
Revise,"CCG Individual Cards (183454)","306500364641",SWSH08: Fusion Strike #175/264 Yveltal Reverse Holo,"US","USD","1.49",,"1",,,450-jup7e
Revise,"CCG Individual Cards (183454)","306500364670",SWSH11: Lost Origin #003/196 Vileplume Holo,"US","USD","1.79",,"1",,,453-jup7h
Revise,"CCG Individual Cards (183454)","306500364673",SWSH10: Astral Radiance #048/189 Hisuian Avalugg Reverse Holo,"US","USD","1.49",,"1",,,452-jup7g
Revise,"CCG Individual Cards (183454)","306500364699",SWSH11: Lost Origin #158/196 Iscan Reverse Holo,"US","USD","1.49",,"1",,,455-jup7k
Revise,"CCG Individual Cards (183454)","306500364701",Crown Zenith #036/159 Kyogre Reverse Holo,"US","USD","1.99",,"1",,,454-jup7i
Revise,"CCG Individual Cards (183454)","306500364720",SWSH05: Battle Styles #122/163 Camping Gear Reverse Holo,"US","USD","1.49",,"1",,,456-jup7l
Revise,"CCG Individual Cards (183454)","306500364745",SV06: Twilight Masquerade #030/167 Torkoal Reverse Holo,"US","USD","1.49",,"1",,,459-jup7o
Revise,"CCG Individual Cards (183454)","306500364747",SV06: Twilight Masquerade #115/167 Venipede Reverse Holo,"US","USD","1.49",,"1",,,458-jup7n
Revise,"CCG Individual Cards (183454)","306500364763",SV04: Paradox Rift #081/182 Espathra Holo,"US","USD","1.49",,"1",,,460-jup7p
Revise,"CCG Individual Cards (183454)","306500364765",SV04: Paradox Rift #165/182 Larry Reverse Holo,"US","USD","1.49",,"1",,,461-jup7r
